id	RNF43_WT_4	RNF43_WT_3	RNF43_WT_2	RNF43_WT_1	GFP_4	GFP_3	GFP_2	GFP_1	RNF43_659fs_4	RNF43_659fs_3	RNF43_659fs_2	RNF43_659fs_1	RNF43_117fs_4	RNF43_117fs_3	RNF43_117fs_2	RNF43_117fs_1
ENSG00000177981.10	-0.6136	-1.6118	-0.3645	-0.4269	1.1424	0.2922	1.1258	-0.8957	-1.4334	-0.3585	-0.7134	-0.4558	1.6593	0.6088	1.2829	0.7621
ENSG00000218358.2	0.9325	0.0066	1.2089	-0.7255	0.4286	1.4878	0.1495	1.0261	-1.7932	-0.9101	-1.8951	-0.5043	-0.0162	0.8562	-0.2133	-0.0384
ENSG00000120662.15	-0.1657	-1.0292	-0.8992	-1.3693	0.6340	2.2939	1.1892	0.2859	0.0332	0.4662	-0.1144	0.3079	-1.6331	0.4110	0.4366	-0.8468
ENSG00000007516.13	-0.6502	-1.8951	0.6023	-2.5608	0.3715	-0.3931	-0.2122	0.9308	0.3752	0.5596	0.4152	0.0675	1.1719	0.8765	0.0457	0.2952
ENSG00000259952.1	-0.2251	-0.2580	-0.2678	-0.3711	-1.1394	0.2686	-0.3699	0.7402	0.6593	-0.9147	0.6546	0.5897	2.5024	-2.0581	-0.0711	0.2603
ENSG00000225630.1	-1.6320	-0.3118	-1.0402	1.0605	1.4979	-0.6868	-0.7484	-1.1777	0.3489	1.5075	0.6292	0.4119	1.0852	-0.3853	0.4018	-0.9607
ENSG00000013392.7	0.7249	0.7491	0.0462	0.9523	-0.9629	0.4315	-0.6679	0.3812	-0.7117	-0.6376	-0.9696	-1.1286	-1.3527	1.8378	1.6811	-0.3731
ENSG00000226688.6	0.5377	0.1846	0.7591	-0.6465	-0.4498	0.2246	-0.1626	-1.7429	1.4599	1.4353	0.7044	0.5158	-2.2790	0.1028	-0.3417	-0.3017
ENSG00000184178.15	-0.4732	0.1782	-0.5411	-0.7153	0.3763	-0.5281	0.5125	-0.4233	-0.8435	-1.1216	-0.9531	-1.1406	2.0599	1.4094	1.4491	0.7544
ENSG00000146700.8	-0.4492	-0.7853	-1.1326	-0.9553	0.3556	-0.7936	-0.1373	0.5149	0.7342	0.6176	0.2292	1.0041	2.2792	0.6486	-0.3299	-1.8001
ENSG00000130204.12	0.4977	0.1066	0.1353	0.1288	-0.8272	-1.4737	-1.1944	0.1630	0.6504	-0.0733	-0.0287	-0.0334	2.7005	-1.0595	-0.7131	1.0211
ENSG00000109618.11	0.4180	0.0127	-0.7507	0.5154	-0.4378	1.7710	0.2813	2.2356	0.5238	-0.7072	-0.2685	-1.6142	-0.9124	-0.3268	0.3099	-1.0502
ENSG00000153015.15	0.0061	0.2202	-0.2199	0.0514	0.5805	0.3344	1.0165	-0.5032	-1.1658	-0.6602	-0.5047	-0.0020	-2.4103	1.2280	1.9471	0.0818
ENSG00000164114.18	-0.2217	2.2831	-0.3158	-0.2391	0.7585	0.0957	-1.0474	-0.4908	-1.3362	1.4150	-0.4884	0.4290	-1.7165	0.2398	-0.0312	0.6661
ENSG00000179632.9	-1.1843	-1.2656	-0.9520	-1.3434	0.8468	-0.6071	1.5016	-0.0139	0.0024	-0.3806	-0.0291	-0.1128	2.1720	0.5526	0.8714	-0.0578
